capacity,label
1.0680572,1.0700541000000001
1.0700541000000001,1.0719094999999998
1.0719094999999998,1.072965
1.072965,1.0719097
1.0719097,1.0732948
1.0732948,1.0735837
1.0735837,1.0720392
1.0720392,1.0732111999999998
1.0732111999999998,1.0733572
1.0733572,1.0720562
1.0720562,1.0730482
1.0730482,1.0730333
1.0730333,1.0723603000000002
1.0723603000000002,1.0729095
1.0729095,1.0722783
1.0722783,1.0721682
1.0721682,1.0724573999999998
1.0724573999999998,1.0718299999999998
1.0718299999999998,1.0721538000000002
1.0721538000000002,1.0721238000000002
1.0721238000000002,1.0706863000000002
1.0706863000000002,1.0712503
1.0712503,1.0715271
1.0715271,1.0700120000000002
1.0700120000000002,1.0710336
1.0710336,1.0713403000000001
1.0713403000000001,1.0695125
1.0695125,1.0704086000000002
1.0704086000000002,1.0689889
1.0689889,1.0677648000000002
1.0677648000000002,1.0696733999999999
1.0696733999999999,1.069556
1.069556,1.0692738000000002
1.0692738000000002,1.0688097
1.0688097,1.068133
1.068133,1.0684201
1.0684201,1.0682353
1.0682353,1.0661631
1.0661631,1.0675643999999997
1.0675643999999997,1.0675573
1.0675573,1.0658481000000002
1.0658481000000002,1.0667715
1.0667715,1.0667198
1.0667198,1.0646503
1.0646503,1.0653819
1.0653819,1.0653222
1.0653222,1.0636086
1.0636086,1.0634656999999998
1.0634656999999998,1.0632498
1.0632498,1.0610597
1.0610597,1.0641606000000001
1.0641606000000001,1.0637968999999998
1.0637968999999998,1.0617383999999999
1.0617383999999999,1.0616948999999998
1.0616948999999998,1.0612283000000002
1.0612283000000002,1.0621583
1.0621583,1.0619836
1.0619836,1.0600120000000002
1.0600120000000002,1.0607288000000001
1.0607288000000001,1.0593362
1.0593362,1.057404
1.057404,1.0582646
1.0582646,1.0582639999999999
1.0582639999999999,1.0577527
1.0577527,1.0548215
1.0548215,1.0519987
1.0519987,1.0563968000000001
1.0563968000000001,1.0571469
1.0571469,1.0570532
1.0570532,1.055885
1.055885,1.0557811000000001
1.0557811000000001,1.0345417
1.0345417,1.0438110999999999
1.0438110999999999,1.0532542
1.0532542,1.0529652
1.0529652,1.0518502
1.0518502,1.052878
1.052878,1.0499744
1.0499744,1.0493723999999998
1.0493723999999998,1.0503593999999998
1.0503593999999998,1.0494096000000002
1.0494096000000002,1.0500311000000002
1.0500311000000002,1.0500928999999999
1.0500928999999999,1.0484229
1.0484229,1.0485594999999999
1.0485594999999999,1.0479097
1.0479097,1.0468214
1.0468214,1.0467751
1.0467751,1.0467361
1.0467361,1.0458306999999998
1.0458306999999998,1.0456059000000002
1.0456059000000002,1.0412366
1.0412366,1.0440401
1.0440401,1.0423726999999998
1.0423726999999998,1.0415581
1.0415581,1.042159
1.042159,1.0405481
1.0405481,1.0400827
1.0400827,1.0384520000000002
1.0384520000000002,1.0405895
1.0405895,1.0373124
1.0373124,1.039028
1.039028,1.0385395
1.0385395,1.0367792
1.0367792,1.0373596
1.0373596,1.0368109
1.0368109,1.0314155999999999
1.0314155999999999,1.0355482
1.0355482,1.0351765
1.0351765,1.0321399
1.0321399,1.0342485000000001
1.0342485000000001,1.0309865
1.0309865,1.0325666999999998
1.0325666999999998,1.0322183
1.0322183,1.0304879999999998
1.0304879999999998,1.0308603
