cell,cycle_life,charge_policy,cycle,IR,Tavg,Tmin,Tmax,chargetime,QD,lable
23,527,4.65C(69%)-6C,1.0,0.017842701,32.24694458828121,30.207869,35.571526,10.389229999999952,1.0713947,1.0745209
23,527,4.65C(69%)-6C,2.0,0.017877026,31.89631998981194,29.57312,35.264709,10.257668333333276,1.0745209,1.0763631
23,527,4.65C(69%)-6C,3.0,0.017716795,32.248268333072694,30.057814,35.796535,10.251743333333433,1.0763631,1.0771495
23,527,4.65C(69%)-6C,4.0,0.017549239,32.457019459253615,30.371639,36.0495,10.24118499999992,1.0771495,1.0769193
23,527,4.65C(69%)-6C,5.0,0.017632106,32.01153060383149,30.01133,35.499073,10.258378333333289,1.0769193,1.0774249
23,527,4.65C(69%)-6C,6.0,0.017494433,32.31688872413792,30.196402,35.689548,10.244759999999951,1.0774249,1.077756
23,527,4.65C(69%)-6C,7.0,0.017416727,32.358725667451,30.134018,35.755646,10.319853333333109,1.077756,1.0774397
23,527,4.65C(69%)-6C,8.0,0.017530711,31.959810299309364,29.814636,35.421104,10.332014999999956,1.0774397,1.0778421
23,527,4.65C(69%)-6C,9.0,0.017404091,32.25243990723274,30.016064,35.745922,10.322974999999861,1.0778421,1.0779557
23,527,4.65C(69%)-6C,10.0,0.017322764,32.16866069260124,30.186523,35.077785,10.317604999999942,1.0779557,1.0777309
23,527,4.65C(69%)-6C,11.0,0.017433021,32.02439626146785,29.86463,35.418625,10.248888333333161,1.0777309,1.0779287
23,527,4.65C(69%)-6C,12.0,0.017320434,32.21120847727273,29.736614,35.293884,10.237756666666732,1.0779287,1.0780791
23,527,4.65C(69%)-6C,13.0,0.01732788,32.116803534267866,29.535824,35.138115,10.319238333333487,1.0780791,1.077867
23,527,4.65C(69%)-6C,14.0,0.017358929,32.06017388682165,29.88578,35.43119,10.32809500000003,1.077867,1.0779884
23,527,4.65C(69%)-6C,15.0,0.017291524,32.265723569867234,30.074661,35.449364,10.238853333333342,1.0779884,1.0779542
23,527,4.65C(69%)-6C,16.0,0.017299382,32.149926049808386,29.552122,35.139118,10.233410000000246,1.0779542,1.0779382
23,527,4.65C(69%)-6C,17.0,0.017289005,32.24428761214961,30.116426,35.67202,10.327883333333011,1.0779382,1.0780809
23,527,4.65C(69%)-6C,18.0,0.017219543,32.417476638088,30.101826,35.782764,10.236611666666674,1.0780809,1.0775136
23,527,4.65C(69%)-6C,19.0,0.01718276,32.159869699761856,29.6546,35.421093,10.22711500000005,1.0775136,1.0778863
23,527,4.65C(69%)-6C,20.0,0.017215293,32.29914592224781,30.088472,35.738148,10.324943333333552,1.0778863,1.0780296
23,527,4.65C(69%)-6C,21.0,0.017156335,32.4477479715165,30.228062,36.126663,10.234228333333158,1.0780296,1.0775284
23,527,4.65C(69%)-6C,22.0,0.017267453,32.05506313803678,29.651659,35.491589,10.323743333333308,1.0775284,1.0777373
