cell,cycle_life,charge_policy,cycle,IR,Tavg,Tmin,Tmax,chargetime,QD,lable
31,492,5.2C(37%)-4.5C,1.0,0.01775966,31.719241238930685,30.045654,34.264702,10.180156666666639,1.0695118,1.0732793
31,492,5.2C(37%)-4.5C,2.0,0.01768863,31.512931310373443,29.662792,34.185276,10.096976666666645,1.0732793,1.0749165
31,492,5.2C(37%)-4.5C,3.0,0.017703837,31.70055185439328,30.068375,34.631107,10.18026333333352,1.0749165,1.0760304
31,492,5.2C(37%)-4.5C,4.0,0.017600309,31.834585871404418,30.093866,34.430973,10.096593333333294,1.0760304,1.0765644
31,492,5.2C(37%)-4.5C,5.0,0.017663617,31.615444830665524,29.728764,34.352798,10.180268333333515,1.0765644,1.0771931
31,492,5.2C(37%)-4.5C,6.0,0.017587544,31.742942478188017,29.999996,34.654644,10.180319999999968,1.0771931,1.0775844
31,492,5.2C(37%)-4.5C,7.0,0.017498765,31.835689722407945,30.170414,34.505917,10.179819999999987,1.0775844,1.0776178
31,492,5.2C(37%)-4.5C,8.0,0.017590331,31.585106657240804,29.779688,34.42234,10.09647166666667,1.0776178,1.0780863
31,492,5.2C(37%)-4.5C,9.0,0.017525068,31.712287809401698,30.045723,34.570259,10.179931666666622,1.0780863,1.0783074
31,492,5.2C(37%)-4.5C,10.0,0.017472312,31.73012280000007,30.067657,34.33556,10.096483333333405,1.0783074,1.0782793
31,492,5.2C(37%)-4.5C,11.0,0.017566985,31.555933747058877,29.719738,34.568676,10.18034333333344,1.0782793,1.0786407
31,492,5.2C(37%)-4.5C,12.0,0.017484654,31.68826378098468,29.950802,34.568619,10.096668333333461,1.0786407,1.0787601
31,492,5.2C(37%)-4.5C,13.0,0.01745053,31.640448760814277,30.180008,34.258884,10.0963883333335,1.0787601,1.0787208
31,492,5.2C(37%)-4.5C,14.0,0.017555313,31.579976013445325,29.820999,34.606899,10.180493333333288,1.0787208,1.0789171
31,492,5.2C(37%)-4.5C,15.0,0.017497685,31.77545448854966,29.971134,34.891582,10.096879999999995,1.0789171,1.0789883
31,492,5.2C(37%)-4.5C,16.0,0.017428152,31.68473182718126,30.08695,34.579723,10.096831666667034,1.0789883,1.0789996
31,492,5.2C(37%)-4.5C,17.0,0.017536841,31.673563341563746,29.851368,34.746876,10.096524999999868,1.0789996,1.0792284
31,492,5.2C(37%)-4.5C,18.0,0.017456364,31.91493108616187,30.186699,34.906715,10.179814999999751,1.0792284,1.0791793
31,492,5.2C(37%)-4.5C,19.0,0.017417014,31.656832885572076,29.748861,34.392841,10.180071666666967,1.0791793,1.079289
31,492,5.2C(37%)-4.5C,20.0,0.017517613,31.757002107535993,30.081299,34.797745,10.179954999999609,1.079289,1.0793511
31,492,5.2C(37%)-4.5C,21.0,0.017461909,31.885738075423692,30.097559,34.607075,10.18000666666679,1.0793511,1.0792154
31,492,5.2C(37%)-4.5C,22.0,0.017486269,31.70407184364259,29.715353,34.440937,10.180291666666744,1.0792154,1.0793393
31,492,5.2C(37%)-4.5C,23.0,0.017520897,31.634494295150517,29.913635,34.656551,10.179991666666561,1.0793393,1.0794894
31,492,5.2C(37%)-4.5C,24.0,0.017496277,31.77640634940784,29.840349,34.631397,10.180079999999725,1.0794894,1.0792921
31,492,5.2C(37%)-4.5C,25.0,0.017547997,31.560197320833275,29.430504,34.321556,10.096758333333128,1.0792921,1.0796106
31,492,5.2C(37%)-4.5C,26.0,0.017518099,31.693964142252383,29.85161,34.638714,10.096653333332991,1.0796106,1.0797415
31,492,5.2C(37%)-4.5C,27.0,0.01748782,31.864598718381103,29.903502,34.876003,10.180121666666915,1.0797415,1.0794073
31,492,5.2C(37%)-4.5C,28.0,0.017573826,31.601764065381342,29.698572,34.599644,10.096873333333255,1.0794073,1.0796819
31,492,5.2C(37%)-4.5C,29.0,0.01749929,31.80268499321463,29.998302,34.748417,10.18032333333346,1.0796819,1.079726
31,492,5.2C(37%)-4.5C,30.0,0.017501805,31.873953898062325,29.947378,34.709606,10.180284999999762,1.079726,1.0795079
31,492,5.2C(37%)-4.5C,31.0,0.017576164,31.621167300415003,29.80752,34.730675,10.180415000000115,1.0795079,1.0797616
31,492,5.2C(37%)-4.5C,32.0,0.017487153,31.858208611803796,30.139416,34.903454,10.096950000000167,1.0797616,1.0797899
31,492,5.2C(37%)-4.5C,33.0,0.017465822,31.773226952814593,30.01424,34.37442,10.180188333333353,1.0797899,1.0796965
31,492,5.2C(37%)-4.5C,34.0,0.017587187,31.64536914601016,30.050312,34.826122,10.17993666666686,1.0796965,1.0798053
31,492,5.2C(37%)-4.5C,35.0,0.017484248,31.849172607594895,29.901907,34.554745,10.180161666666875,1.0798053,1.0798965
31,492,5.2C(37%)-4.5C,36.0,0.017522326,31.757275330479487,29.740791,34.257294,10.09684500000003,1.0798965,1.0797917
31,492,5.2C(37%)-4.5C,37.0,0.017577646,31.647656133671735,29.892628,34.68869,10.097003333333124,1.0797917,1.0799413
31,492,5.2C(37%)-4.5C,38.0,0.017527973,31.862871032967057,29.835527,34.602283,10.096403333333244,1.0799413,1.0801251
31,492,5.2C(37%)-4.5C,39.0,0.017531,31.83433106740615,29.586679,34.647831,10.17991666666688,1.0801251,1.0799652
31,492,5.2C(37%)-4.5C,40.0,0.017582091,31.764925510016695,29.807695,34.976448,10.096976666666645,1.0799652,1.080019
31,492,5.2C(37%)-4.5C,41.0,0.01749732,31.916484327993217,30.11706,35.166523,10.096963333333163,1.080019,1.0798235
31,492,5.2C(37%)-4.5C,42.0,0.017471975,31.706810408896498,29.65295,34.601074,10.180348333333678,1.0798235,1.0799264
31,492,5.2C(37%)-4.5C,43.0,0.017550925,31.776050405990016,29.974579,34.828167,10.179963333333339,1.0799264,1.0799962
31,492,5.2C(37%)-4.5C,44.0,0.017542016,31.92729547883816,29.853373,34.875839,10.18024166666631,1.0799962,1.0797319
31,492,5.2C(37%)-4.5C,45.0,0.017503085,31.706208479474533,29.47064,34.624729,10.180158333333384,1.0797319,1.0799602
31,492,5.2C(37%)-4.5C,46.0,0.017562356,31.842738022518777,29.851173,34.988297,10.096843333333284,1.0799602,1.0800406
31,492,5.2C(37%)-4.5C,47.0,0.017517975,31.932554311818798,29.89349,35.290337,10.180041666666996,1.0800406,1.079707
31,492,5.2C(37%)-4.5C,48.0,0.017520644,31.632440455770816,29.546333,34.640873,10.096630000000005,1.079707,1.0799379
31,492,5.2C(37%)-4.5C,49.0,0.017565945,31.760004480553192,29.734318,34.838356,10.096553333333578,1.0799379,1.0800272
31,492,5.2C(37%)-4.5C,50.0,0.017534805,31.834147580083087,29.814598,35.083561,10.180309999999979,1.0800272,1.0796938
31,492,5.2C(37%)-4.5C,51.0,0.017645866,31.518729890387938,29.541157,34.633286,10.096765000000111,1.0796938,1.0799516
