N,batch_size,epochs,mse,mape
76,8,30,0.12010326941414214,111.05875375277418
76,8,50,0.03453378291026694,24.622091420252048
76,8,75,0.011776233309632154,9.16360837041081
76,8,100,0.02674231218325359,28.806206829064436
76,8,150,0.02740230349155289,22.061604674052017
76,8,200,0.08682085538664815,99.59395587659048
76,16,30,0.132884272450532,120.2444813208022
76,16,50,0.03984931451083211,17.18005209880353
76,16,75,0.06936159858918996,61.4035307696181
76,16,100,0.055929784834845224,18.695623870643264
76,16,150,0.029373537942560927,14.348525064639325
76,16,200,0.17828102234731755,223.9934883818988
76,32,30,0.051659361111509094,62.20244378924509
76,32,50,0.11527281536764535,102.03563685802885
76,32,75,0.07838357984491405,41.23769732003228
76,32,100,0.09495988562048918,92.11322800278818
76,32,150,0.03707572901456759,13.94084766895046
76,32,200,0.040572208386862846,17.466463978793435
76,64,30,0.047464492493037386,58.01010033684479
76,64,50,0.038427006114404916,24.04034207616327
76,64,75,0.03396023469206892,43.242145871950875
76,64,100,0.1359055935274425,106.93935015326869
76,64,150,0.05043620257924496,17.024677703994364
76,64,200,0.023570294481197317,21.913324674401267
76,128,30,0.28963584201325954,249.94809398316028
76,128,50,0.09380593207759488,81.23427107555325
76,128,75,0.06268424283582306,66.41865140967624
76,128,100,0.13537160645096635,122.5184937848977
76,128,150,0.025236620011836707,8.981399751113736
76,128,200,0.08428184902040162,85.2670337739746
