N,batch_size,epochs,mse,mape
13,8,30,0.04541184019193648,39.15031012083943
13,8,50,0.041330172325180485,40.596446048173355
13,8,75,0.05892921800299862,56.20992495244393
13,8,100,0.06753980747563648,51.705185717716915
13,8,150,0.060221079767535546,49.394337847937585
13,8,200,0.1400232211702934,128.30685703567525
13,16,30,0.03575717198075876,38.993567361925514
13,16,50,0.05928179551505967,33.36112089145748
13,16,75,0.03440887923512388,10.627257418629796
13,16,100,0.04986363991947894,43.44125791998022
13,16,150,0.08407320865702698,69.5525618833644
13,16,200,0.0358329198546082,23.571025842719454
13,32,30,0.08473544307772532,82.31509565468515
13,32,50,0.13847090633421716,103.73648866143022
13,32,75,0.04261352720072474,41.38173697635749
13,32,100,0.056806508589805786,20.443056671891704
13,32,150,0.044134706258498795,33.42041860766299
13,32,200,0.042555751615397305,14.12496904180282
13,64,30,0.09796647998787641,69.3747064148577
13,64,50,0.023700434524317665,8.500436789624993
13,64,75,0.10234554534923344,91.89376447242569
13,64,100,0.035947981062384275,35.745252177899744
13,64,150,0.06373737829730136,45.220817485933466
13,64,200,0.07340532311813903,66.31905691665895
13,128,30,0.03773070622915499,39.65308461096206
13,128,50,0.12280477614636853,36.447018905900194
13,128,75,0.02068344004095139,11.361316702779218
13,128,100,0.06811449692833076,65.66486438906789
13,128,150,0.03301861352710799,25.598460613970158
13,128,200,0.04328197917843449,20.495825184779207
