N,batch_size,epochs,mse,mape
44,8,30,0.07619892863561087,79.78483586923294
44,8,50,0.1248348572469904,109.91048707096687
44,8,75,0.06874889687234048,67.39929219602186
44,8,100,0.18224326299881213,172.24411347816465
44,8,150,0.029646747307224927,35.969625399962204
44,8,200,0.1758977995951389,166.61617465268642
44,16,30,0.05186087431824128,40.516064568291256
44,16,50,0.07854790288561776,37.86624700396947
44,16,75,0.06555693796694609,49.0126767317681
44,16,100,0.028861364895586543,31.880560405540393
44,16,150,0.058927614900125005,48.94726033925036
44,16,200,0.17781966683021685,192.0777420821431
44,32,30,0.11666046866631404,86.89710421201688
44,32,50,0.06996523602012279,40.249085996080055
44,32,75,0.12064781059496034,85.9320852185612
44,32,100,0.04657629036142857,31.40824479061456
44,32,150,0.035793688176819854,27.4489589446963
44,32,200,0.09724985448397165,85.03034369856668
44,64,30,0.07378475522227737,24.621324850249607
44,64,50,0.11287504538594455,52.971223657819365
44,64,75,0.04612284193652565,37.25080117129128
44,64,100,0.0829321385306402,23.27126741187571
44,64,150,0.023856925246842013,21.665154298413693
44,64,200,0.10688856078580357,68.32200594218953
44,128,30,0.2582098039877072,213.39159417013613
44,128,50,0.016169087991127457,11.609830541204632
44,128,75,0.07546065964980554,76.93532245949228
44,128,100,0.02799966673285524,11.670830368592181
44,128,150,0.026554957548329858,17.677917391887554
44,128,200,0.05754188807607804,35.11284515079331
