N,batch_size,epochs,mse,mape
11,8,30,0.09932179731028937,89.38246574310175
11,8,50,0.11376390734918368,84.39871214599472
11,8,75,0.043186731151354366,40.95391297586603
11,8,100,0.07581418332136382,50.5402480085117
11,8,200,0.11850649906387858,109.23783531067247
11,16,30,0.0666646000306572,61.199680200379106
11,16,50,0.03030672052951512,14.31140277135886
11,16,75,0.02461518801858406,16.422918977283597
11,16,100,0.020398035879332532,20.86000927672716
11,16,200,0.07671981435131657,62.85200398764715
11,32,30,0.17086413197962946,138.6030139970876
11,32,50,0.177055643781351,143.00711047353337
11,32,75,0.05193290148444937,29.18231657440803
11,32,100,0.027924410172998383,9.068348907222555
11,32,200,0.1187993972242861,85.95995613484384
11,64,30,0.05316608440100049,51.25352392986956
11,64,50,0.04626282539353491,31.048358702209843
11,64,75,0.05438321855059368,52.98159624736735
11,64,100,0.05113223450626451,47.112538800278365
11,64,200,0.07118037519946203,51.37216081283125
11,128,30,0.07625704258839709,68.08528273180342
11,128,50,0.10903890861870283,91.59514226279784
11,128,75,0.14075464868763174,96.8487255105503
11,128,100,0.05974707988049446,52.50362292891872
11,128,200,0.016849291812174517,7.082155219468817
