N,batch_size,epochs,mse,mape
77,8,30,0.06346814161830379,47.02848590099188
77,8,50,0.040464241510523864,32.20933292681882
77,8,75,0.09126882250393126,70.64123773773325
77,8,100,0.04611197702554772,33.86651885030306
77,8,150,0.04926750605477799,61.870860308355134
77,8,200,0.07058298829295581,82.70890464679087
77,16,30,0.1150906063077821,110.19637278104717
77,16,50,0.04885664977434198,39.8746865863344
77,16,75,0.10090872545859945,73.12954757649666
77,16,100,0.07384078265339022,73.37046420275692
77,16,150,0.05076225389594803,39.667907284908644
77,16,200,0.04069477800679648,37.384706151734775
77,32,30,0.09830124168815492,92.53104876967942
77,32,50,0.06782860989087801,65.32550929710156
77,32,75,0.06359588672568761,29.216211474679422
77,32,100,0.01831908001167571,15.755976223393727
77,32,150,0.031901508537617335,12.183684915337494
77,32,200,0.12646190919336026,110.08352807195487
77,64,30,0.12313833295043108,104.42895622248413
77,64,50,0.06571877251289994,76.74581949287365
77,64,75,0.06360100985382465,66.61081173270253
77,64,100,0.05016174954412427,20.687515414521926
77,64,150,0.032540047130492876,40.69595499530691
77,64,200,0.06851901290672092,57.793845450632155
77,128,30,0.11853139232879832,128.88765012261885
77,128,50,0.06063476469176813,24.238685226562716
77,128,75,0.08262058417466056,88.12856033082024
77,128,100,0.07349277225416533,61.58625891533822
77,128,150,0.1179835826285251,108.56432635340842
77,128,200,0.03165256866207108,19.801191563193722
