N,batch_size,epochs,mse,mape
66,8,30,0.047124559743840694,52.02091862270388
66,8,50,0.019278417005156003,11.114072271086343
66,8,75,0.08074507921054849,59.04848997232336
66,8,100,0.15723436758745207,176.8976090925418
66,8,150,0.06383365301453373,68.02264933171651
66,8,200,0.08783419838639638,103.57798101435253
66,16,30,0.03376949906272461,30.78836120595561
66,16,50,0.050739371413087264,54.31609730954224
66,16,75,0.06710102708458479,43.36007000717104
66,16,100,0.02308529911479579,27.648599150059717
66,16,150,0.10038867338753338,99.37351918117845
66,16,200,0.03632117223029092,23.971100921132997
66,32,30,0.05218522259287541,55.20873383165063
66,32,50,0.08438224859708346,79.77021036281224
66,32,75,0.12474813492791527,75.99528079245182
66,32,100,0.10965848366944607,83.75941413064844
66,32,150,0.029461950903550523,17.742545768124263
66,32,200,0.043707929317977866,36.02949327145821
66,64,30,0.03587750197303715,15.42321287936673
66,64,50,0.04337739208864688,45.51504537012353
66,64,75,0.04480752033575569,48.692033560772934
66,64,100,0.018405374287376014,21.547417252808298
66,64,150,0.14789421172762882,101.9929179093686
66,64,200,0.09328277595526324,63.11193863395814
66,128,30,0.151952350938163,111.4573276340729
66,128,50,0.15609444625911365,114.39262508581487
66,128,75,0.046652629141611196,52.601192166456435
66,128,100,0.05658007321987556,64.42238173408118
66,128,150,0.09051295508441991,70.69200596906315
66,128,200,0.08282352937959142,56.38707680705768
